date,ticker,name,wave_stage,score,close,volume,MA20,MA50,RSI,Position52
2025-12-30,336570,원텍,Transition,75,7700.0,1018684.0,7514.5,7834.6,54.54545454545455,0.3800217155266015
2025-12-30,138040,메리츠금융지주,Transition,75,113400.0,197815.0,109950.0,111734.0,60.37735849056604,0.4838709677419355
2025-12-30,155660,DSR,Transition,75,3887.0,21464.0,3892.85,3854.04,48.94651539708266,0.2840989399293286
2025-12-30,101240,씨큐브,Transition,75,4215.0,27287.0,4264.75,4278.5,47.5,0.275974025974026
2025-12-30,126700,하이비젼시스템,Transition,75,16070.0,49161.0,15885.0,15631.8,55.214723926380366,0.25161987041036715
2025-12-30,413390,엠오티,Transition,75,7150.0,132783.0,6966.0,7127.2,51.5625,0.2922437673130194
2025-12-30,0007C0,아크릴,Transition,75,39150.0,1661675.0,39150.0,38520.0,50.0,0.26884422110552764
2025-12-30,003490,대한항공,Transition,75,22550.0,983844.0,22447.5,22148.0,50.0,0.378698224852071
2025-12-30,200880,서연이화,Transition,75,13030.0,66797.0,13006.0,12595.4,46.57534246575342,0.5919282511210763
2025-12-30,045390,대아티아이,Transition,70,4145.0,1734532.0,3953.0,4050.8,56.888888888888886,0.3830769230769231
2025-12-30,054930,유신,Transition,70,22600.0,9743.0,22945.0,22181.0,47.45762711864407,0.3712574850299401
2025-12-30,060380,동양에스텍,Transition,70,1524.0,27358.0,1543.9,1563.64,47.89473684210526,0.26411960132890366
2025-12-30,354390,바스칸바이오제약,Transition,70,4780.0,15.0,4808.75,4915.8,45.6,0.4932301740812379
2025-12-30,039420,케이엘넷,Transition,70,2850.0,55480.0,2874.0,2851.2,47.77777777777778,0.31189710610932475
2025-12-30,061250,화일약품,Transition,70,1151.0,160257.0,1145.95,1121.96,56.27705627705628,0.3169164882226981
2025-12-30,053610,프로텍,General Uptrend,70,34100.0,36246.0,33820.0,33270.0,43.99999999999999,0.7886540600667408
2025-12-30,036560,KZ정밀,Transition,70,15070.0,4902.0,15226.0,14920.0,55.5223880597015,0.5422773393461104
2025-12-30,114920,대주이엔티,Transition,70,2485.0,235.0,2502.0,2604.9,54.565217391304344,0.4651898734177215
2025-12-30,183190,아세아시멘트,Transition,70,12010.0,47389.0,12288.0,12198.8,52.226720647773284,0.3787878787878788
2025-12-30,004020,현대제철,Transition,70,31050.0,203192.0,30997.5,31467.0,50.0,0.5854341736694678
2025-12-30,003470,유안타증권,Transition,70,3675.0,226859.0,3749.75,3774.8,48.360655737704924,0.5654205607476636
2025-12-30,001750,한양증권,Transition,70,19060.0,16886.0,19357.5,19041.4,45.68345323741008,0.5748148148148148
2025-12-30,002810,삼영무역,Transition,70,15980.0,12392.0,16307.5,15787.6,47.92626728110599,0.5964343598055105
2025-12-30,006880,신송홀딩스,Transition,70,6910.0,6898.0,6922.0,6830.2,58.585858585858595,0.26666666666666666
2025-12-30,001420,태원물산,Transition,70,3555.0,2936.0,3487.5,3411.3,61.202185792349724,0.2574626865671642
2025-12-30,021240,코웨이,Transition,70,87200.0,89624.0,87790.0,88992.0,61.607142857142854,0.461839530332681
2025-12-30,001230,동국홀딩스,Transition,70,7450.0,33904.0,7586.0,7466.8,47.88732394366197,0.36163522012578614
2025-12-30,002410,범양건영,Transition,70,1935.0,0.0,1935.0,1935.0,50.0,0.46347305389221555
2025-12-30,476710,타조이엔터테인먼트,Transition,70,16450.0,0.0,16450.0,16351.0,50.0,0.3876177658142665
2025-12-30,487830,신한제15호스팩,Transition,70,2070.0,3418.0,2057.0,2049.4,56.25,0.2506811989100817
2025-12-30,024850,HLB이노베이션,Transition,70,2010.0,802777.0,1911.15,1840.82,57.53262158956109,0.3179190751445087
2025-12-30,212310,오건에코텍,Transition,70,635.0,0.0,635.0,635.0,50.0,0.5777979981801638
2025-12-30,230360,에코마케팅,Transition,70,10770.0,49672.0,11018.0,11234.6,51.704545454545446,0.41728395061728396
2025-12-30,248170,샘표식품,Transition,70,28250.0,5685.0,29012.5,28399.0,46.753246753246756,0.4090909090909091
2025-12-30,281740,레이크머티리얼즈,Transition,70,14900.0,302702.0,14730.0,14424.6,49.163879598662206,0.44388270980788674
2025-12-30,187270,신화콘텍,Transition,70,3165.0,11787.0,3153.5,3235.7,55.0,0.26296296296296295
2025-12-30,059180,엔더블유시,Transition,70,4800.0,0.0,4800.0,4800.0,50.0,0.5
2025-12-30,241520,DSC인베스트먼트,Transition,70,7220.0,181274.0,7240.0,7127.0,48.3739837398374,0.5794871794871795
2025-12-30,003480,한진중공업홀딩스,Transition,70,4685.0,58170.0,4837.25,4829.7,45.9016393442623,0.38088235294117645
2025-12-30,001440,대한전선,General Uptrend,70,23000.0,1914293.0,22965.0,22844.4,50.74626865671642,0.6967257112184648
2025-12-30,000220,유유제약,Transition,70,4515.0,51954.0,4383.0,4257.0,60.476190476190474,0.4681818181818182
2025-12-30,484120,도우인시스,Transition,70,26300.0,42465.0,24942.5,25295.0,58.57142857142857,0.27315914489311166
2025-12-30,176750,듀켐바이오,Transition,70,9590.0,56352.0,9241.0,9399.8,55.4054054054054,0.3197969543147208
2025-12-30,368030,창대정밀,Transition,70,8580.0,0.0,8580.0,8580.0,50.0,0.5
2025-12-30,495810,유비씨,Transition,70,13120.0,0.0,13120.0,13120.0,50.0,0.5
2025-12-30,005810,풍산홀딩스,Transition,70,37550.0,9164.0,37602.5,37942.0,45.63106796116505,0.4240400667779633
2025-12-30,009270,신원,Transition,70,1529.0,374188.0,1532.05,1524.22,50.87719298245614,0.3032608695652174
2025-12-30,003010,혜인,Transition,70,5310.0,24067.0,5353.0,5294.6,49.166666666666664,0.4685714285714286
2025-12-30,147830,제룡산업,Transition,70,6070.0,43477.0,6198.0,6204.4,50.862068965517246,0.3570487483530962
2025-12-30,153460,네이블,Transition,70,7110.0,1499.0,6936.5,7215.8,55.12820512820513,0.43171806167400884
2025-12-30,282880,코윈테크,Transition,70,16110.0,119639.0,16168.0,16296.4,51.384083044982695,0.5765124555160143
2025-12-30,163560,동일고무벨트,Transition,70,6870.0,28488.0,6843.0,6752.8,62.71186440677966,0.27014218009478674
2025-12-30,159910,에코글로우,Transition,70,708.0,68469.0,702.0,688.32,51.66666666666667,0.28013029315960913
2025-12-30,311060,엘에이티,Transition,70,3250.0,0.0,3191.75,3211.8,46.808510638297875,0.4438356164383562
2025-12-30,104620,노랑풍선,Transition,70,5220.0,78431.0,5237.0,5342.7,50.0,0.2507936507936508
2025-12-30,192080,더블유게임즈,Transition,70,53800.0,17568.0,54095.0,52398.0,55.17241379310345,0.4520547945205479
2025-12-30,192650,드림텍,Transition,70,7050.0,88690.0,7088.0,6926.2,47.89915966386555,0.5236486486486487
2025-12-30,196450,코아시아씨엠,Transition,70,783.0,37708.0,775.9,814.3,58.433734939759034,0.39464882943143814
2025-12-30,128540,에코캡,Transition,70,1780.0,56200.0,1759.75,1701.72,53.70919881305639,0.5612244897959183
2025-12-30,191420,테고사이언스,Transition,70,16420.0,9303.0,16300.5,16735.6,60.56910569105691,0.5107913669064749
2025-12-30,208350,지란지교시큐리티,Transition,70,2950.0,17111.0,2946.0,3029.3,51.06382978723405,0.5569620253164557
2025-12-30,267850,아시아나IDT,Transition,70,11390.0,9040.0,11490.0,11410.4,46.666666666666664,0.3787465940054496
2025-12-30,214270,FSN,Transition,70,1939.0,168931.0,1890.9,1938.92,54.68053491827638,0.30362694300518134
2025-12-30,307930,컴퍼니케이,Transition,70,6370.0,108593.0,6151.5,5864.0,61.13989637305699,0.3809001097694841
2025-12-30,950130,엑세스바이오,Transition,70,3800.0,77740.0,3581.5,3673.1,64.51612903225806,0.5163043478260869
2025-12-30,090360,로보스타,General Uptrend,70,80300.0,786961.0,77370.0,76474.0,54.13333333333333,0.6876761754425527
2025-12-30,039130,하나투어,Transition,70,48650.0,28800.0,48812.5,47682.0,49.01960784313726,0.25
2025-12-30,244460,올리패스,Transition,70,1651.0,0.0,1651.0,1651.0,50.0,0.2501515151515151
2025-12-30,332290,누보,Transition,70,1227.0,68491.0,1269.2,1233.5,46.35416666666667,0.2885624344176285
2025-12-30,234690,녹십자웰빙,Transition,70,9120.0,3263.0,9334.0,9290.2,48.07692307692308,0.4408352668213457
2025-12-30,225590,패션플랫폼,Transition,70,877.0,39856.0,877.0,884.54,49.01960784313726,0.319047619047619
2025-12-30,227840,현대코퍼레이션홀딩스,Transition,70,12180.0,22795.0,12518.5,12222.0,47.20496894409938,0.4730290456431535
2025-12-30,006360,GS건설,Transition,70,19690.0,420758.0,19700.5,19147.2,53.25203252032521,0.4658385093167702
2025-12-30,398120,에스지헬스케어,Transition,70,3035.0,7208.0,3089.0,2976.8,46.666666666666664,0.3162878787878788
2025-12-30,099190,아이센스,Transition,70,15970.0,68629.0,16306.0,16803.4,48.735632183908045,0.38809831824062097
2025-12-30,153490,우리이앤엘,Transition,70,691.0,25268.0,695.1,680.78,49.122807017543856,0.27876106194690264
2025-12-30,136490,선진,Transition,70,9620.0,58894.0,9670.5,9863.2,49.67741935483871,0.45029821073558646
2025-12-30,019770,서연탑메탈,Transition,70,3760.0,17463.0,3786.75,3735.1,48.48484848484848,0.34074074074074073
2025-12-30,002310,아세아제지,Transition,70,7970.0,65896.0,7954.5,7598.0,61.34020618556701,0.5692883895131086
2025-12-30,461300,아이스크림미디어,Transition,70,17280.0,17957.0,17389.5,17565.4,54.4080604534005,0.3915876777251185
2025-12-30,289930,웨이비스,Transition,70,8420.0,16873.0,8244.5,8178.4,56.54205607476635,0.3352059925093633
2025-12-30,006040,동원산업,Transition,70,42000.0,52153.0,43570.0,45279.0,50.23041474654379,0.4135667396061269
2025-12-30,005680,삼영전자공업,Transition,70,10510.0,10573.0,10660.5,10552.4,47.53086419753086,0.37606837606837606
2025-12-30,001260,남광토건,Transition,70,8320.0,366436.0,8261.5,7877.0,53.06122448979592,0.25757575757575757
2025-12-30,004090,한국석유공업,Transition,70,13930.0,19299.0,14004.5,14034.2,49.0,0.2871939736346516
2025-12-30,002100,경농,Transition,70,9320.0,4595.0,9373.0,9379.8,52.272727272727266,0.36771300448430494
2025-12-30,214430,아이쓰리시스템,Transition,70,75600.0,28221.0,72875.0,73136.0,52.715654952076676,0.42488262910798125
2025-12-30,290270,휴네시온,Transition,70,3735.0,14596.0,3800.25,3735.9,52.15053763440861,0.32345013477088946
2025-12-30,110990,디아이티,Transition,70,14570.0,54491.0,14407.0,14770.4,51.294117647058826,0.4166666666666667
2025-12-30,202960,판도라티비,Transition,70,785.0,510.0,673.55,674.74,60.0,0.3234323432343234
2025-12-30,059100,아이컴포넌트,Transition,70,4975.0,7841.0,5089.5,4919.8,47.80487804878049,0.30423280423280424
2025-12-30,058850,KTcs,Transition,70,2855.0,168415.0,2890.0,2906.6,50.0,0.5668789808917197
2025-12-30,317860,노드메이슨,Transition,70,4800.0,10.0,4817.5,4839.1,47.72727272727273,0.3548387096774194
2025-12-30,335870,윙스풋,Transition,70,1673.0,6438.0,1675.0,1724.62,49.74874371859296,0.2691919191919192
2025-12-30,322510,제이엘케이,Transition,70,5590.0,150502.0,5296.5,5128.8,64.8675171736997,0.2833478639930253
2025-12-30,235980,메드팩토,General Uptrend,70,6650.0,215956.0,6690.5,6148.1,44.17670682730924,0.6610169491525424
2025-12-30,009140,경인전자,Transition,70,20550.0,2579.0,20760.0,20505.0,48.07692307692308,0.532520325203252
2025-12-30,007690,국도화학,Transition,70,32550.0,13178.0,32442.5,32526.0,58.585858585858595,0.3240418118466899
2025-12-30,019550,SBI인베스트먼트,Transition,70,716.0,176438.0,723.0,707.12,54.61847389558233,0.36013986013986016
2025-12-30,079900,전진건설로봇,Transition,70,47750.0,82075.0,47912.5,46702.0,54.81283422459894,0.49476987447698745
2025-12-30,105740,디케이락,Transition,70,9630.0,106900.0,9881.0,9908.0,46.325878594249204,0.5970464135021097
2025-12-30,041460,한국전자인증,Transition,70,3710.0,44585.0,3730.25,3673.9,54.437869822485204,0.3673469387755102
2025-12-30,033170,시그네틱스,Transition,70,789.0,1128564.0,760.25,798.74,53.913043478260875,0.3253424657534247
2025-12-30,131030,옵투스제약,Transition,70,6890.0,13130.0,6963.5,6928.6,50.46728971962617,0.4068767908309456
2025-12-30,266470,바이오인프라생명과학,Transition,70,275.0,736.0,275.6,263.92,52.80373831775701,0.4146341463414634
2025-12-30,114090,GKL,Transition,70,14830.0,63135.0,14661.0,14847.0,55.078125,0.5751014884979703
2025-12-30,347000,센코,Transition,70,2205.0,20113.0,2165.25,2148.3,58.69565217391305,0.2827868852459016
2025-12-30,348350,위드텍,Transition,70,8500.0,12630.0,8536.0,8615.8,45.270270270270274,0.2693726937269373
2025-12-30,009900,명신산업,Transition,70,8990.0,79058.0,9052.5,8925.2,46.116504854368934,0.41228070175438597
2025-12-30,002760,보락,Transition,70,1049.0,42251.0,1042.05,1025.66,61.016949152542374,0.27467811158798283
2025-12-30,464080,에스오에스랩,General Uptrend,70,14230.0,1589395.0,11619.5,10680.0,73.25408618127786,0.712378640776699
2025-12-30,266350,팡스카이,Transition,70,398.0,0.0,398.0,398.0,50.0,0.5400271370420624
2025-12-30,005820,원림,Transition,70,14800.0,637.0,14907.5,14502.0,45.714285714285715,0.5609756097560976
2025-12-30,004720,팜젠사이언스,Transition,70,4145.0,52496.0,4180.75,4081.0,50.909090909090914,0.27297297297297296
2025-12-30,114630,폴라리스우노,Transition,70,502.0,221873.0,504.4,493.9,46.7741935483871,0.43564356435643564
2025-12-30,115440,우리넷,Transition,70,7210.0,35118.0,7307.5,7248.4,52.44755244755245,0.28
2025-12-30,101330,모베이스,Transition,70,3210.0,33157.0,3174.75,3123.8,62.903225806451616,0.5707547169811321
2025-12-30,088350,한화생명,Transition,70,3250.0,777553.0,3161.5,3106.5,62.359550561797754,0.4433249370277078
2025-12-30,100030,인지소프트,Transition,70,19750.0,5468.0,19951.5,20572.4,46.92556634304207,0.5521541950113379
2025-12-30,079970,투비소프트,Transition,70,596.0,0.0,596.0,596.0,50.0,0.5596244131455399
2025-12-30,121890,에스디시스템,Transition,70,1730.0,64087.0,1733.5,1705.38,56.873315363881396,0.5895096921322691
2025-12-30,002150,도화엔지니어링,Transition,70,6350.0,17485.0,6404.5,6241.0,47.27272727272727,0.42857142857142855
2025-12-30,009440,KC그린홀딩스,Transition,70,756.0,0.0,756.0,756.0,50.0,0.5558823529411765
